latitude,longitude,acq_date,acq_time,brightness,confidence,frp
-13.65839,-45.72642,2025-07-22,24,327.83,100,29.67
-13.64939,-45.72774,2025-07-22,24,316.73,94,17.64
-13.3639,-44.77274,2025-07-22,24,301.25,39,5.31
-12.65873,-44.2743,2025-07-22,24,303.91,58,7.16
-24.64166,-42.40916,2025-07-22,22,312.02,77,9.92
-12.65501,-45.0517,2025-07-22,24,326.16,100,25.65
-24.64299,-42.41892,2025-07-22,22,306.02,40,5.74
-12.65626,-45.06075,2025-07-22,24,315.69,92,15.23
-24.63277,-42.41064,2025-07-22,22,305.05,14,5.37
-11.90996,-44.06283,2025-07-22,24,309.79,78,8.73
-22.91513,-43.72955,2025-07-22,22,302.27,10,4.96
-11.91126,-44.072,2025-07-22,24,334.97,100,35.53
-11.90233,-44.07332,2025-07-22,24,304.93,48,5.24
-22.91904,-43.75952,2025-07-22,22,302.31,20,4.87
-11.80914,-44.26715,2025-07-22,24,308.16,74,9.0
-22.90607,-43.73096,2025-07-22,22,307.01,70,8.4
-11.81041,-44.27624,2025-07-22,24,317.68,95,16.6
-22.90738,-43.74094,2025-07-22,22,306.64,64,7.82
-11.56928,-44.25932,2025-07-22,24,332.91,100,33.89
-22.12157,-43.15537,2025-07-22,22,305.92,66,8.98
-11.56859,-44.84594,2025-07-22,24,317.49,95,16.04
-21.03883,-42.0586,2025-07-22,22,300.57,30,5.41
-11.71514,-47.77489,2025-07-22,24,312.13,84,14.97
-20.24422,-40.24447,2025-07-22,22,303.15,54,8.76
-11.73678,-48.17472,2025-07-22,24,316.03,92,20.33
-20.34809,-41.48886,2025-07-22,22,301.29,40,7.33
-11.73827,-48.18633,2025-07-22,24,340.09,100,63.43
-20.47781,-44.19581,2025-07-22,22,311.56,83,13.7
-11.72678,-48.17609,2025-07-22,24,328.94,100,39.72
-20.06561,-41.39498,2025-07-22,22,313.27,87,15.3
-11.72825,-48.18766,2025-07-22,24,365.11,100,147.18
-20.06718,-41.4054,2025-07-22,22,327.19,100,30.17
-11.19266,-48.61642,2025-07-22,24,339.44,100,66.88
-20.0589,-41.40297,2025-07-22,22,327.25,100,30.95
-19.8341,-40.10795,2025-07-22,22,301.25,39,7.2
-11.19424,-48.62859,2025-07-22,24,315.02,90,21.18
-19.73125,-46.03605,2025-07-22,24,300.55,30,7.23
-10.62617,-45.22445,2025-07-22,24,320.54,100,17.94
-19.41125,-44.95927,2025-07-22,24,313.14,86,15.36
-10.62741,-45.2334,2025-07-22,24,336.49,100,37.79
-19.41255,-44.96927,2025-07-22,24,302.75,51,7.5
-10.61857,-45.23468,2025-07-22,24,329.15,100,27.85
-18.99514,-45.78447,2025-07-22,24,308.81,76,13.14
-10.60972,-45.23597,2025-07-22,24,310.95,81,10.18
-18.80677,-44.41682,2025-07-22,24,301.99,46,6.77
-16.69451,-41.00949,2025-07-22,24,303.0,51,9.5
-11.24207,-50.367,2025-07-22,24,303.2,54,11.52
-17.02383,-47.20156,2025-07-22,24,301.21,39,8.6
-9.95977,-44.28147,2025-07-22,24,306.57,69,7.37
-16.47299,-46.15936,2025-07-22,24,300.91,35,6.77
-9.96106,-44.29065,2025-07-22,24,301.67,43,4.2
-15.9303,-43.51073,2025-07-22,24,300.91,25,4.73
-10.55847,-50.37123,2025-07-22,24,304.08,58,13.03
-15.9316,-43.51995,2025-07-22,24,381.42,100,161.83
-10.23353,-48.06044,2025-07-22,24,313.7,88,16.03
-10.23492,-48.07116,2025-07-22,24,319.38,98,22.66
-15.93289,-43.52917,2025-07-22,24,311.89,84,11.67
-9.59436,-43.84921,2025-07-22,24,302.76,36,4.98
-16.10572,-49.96601,2025-07-22,24,308.68,75,27.6
-9.9182,-47.82812,2025-07-22,26,307.07,70,9.33
-9.06504,-45.06224,2025-07-22,26,348.41,100,59.5
-15.15376,-43.67903,2025-07-22,24,301.38,41,4.58
-9.06629,-45.07117,2025-07-22,26,328.52,100,27.09
-15.70762,-49.3034,2025-07-22,24,304.61,61,15.61
-9.05743,-45.07247,2025-07-22,26,310.46,80,9.77
-15.70947,-49.31952,2025-07-22,24,306.25,67,17.94
-15.54271,-47.99509,2025-07-22,24,308.66,75,15.81
-9.67498,-49.89848,2025-07-22,26,305.95,66,12.82
-8.92499,-44.45428,2025-07-22,26,305.6,65,6.12
-14.74601,-46.29756,2025-07-22,24,300.6,31,5.8
-14.77461,-47.1236,2025-07-22,24,304.04,58,8.68
-8.51044,-43.29417,2025-07-22,26,303.66,42,6.04
-14.77132,-47.11904,2025-07-22,24,301.75,44,6.9
-8.51192,-43.30442,2025-07-22,26,364.63,100,121.93
-8.5134,-43.31467,2025-07-22,26,326.01,100,28.64
-14.64558,-46.82603,2025-07-22,24,316.57,93,18.05
