lat,lon,country
38.76,-122.73,United States
62.2,-151.05,United States
46.86,-121.7,United States
32.36,-102.18,United States
46.85,-121.77,United States
33.53,-116.73,United States
32.13,-101.5,United States
33.36,-116.69,United States
37.45,-116.5,United States
38.54,-116.94,United States
17.87,-66.88,United States
37.45,-118.85,United States
37.87,-122.21,United States
61.38,-151.87,United States
33.0,-116.23,United States
34.0,-116.32,United States
31.62,-104.33,United States
31.61,-104.1,United States
34.04,-117.55,United States
32.78,-115.45,United States
38.8,-122.81,United States
18.07,-67.0,United States
34.13,-117.4,United States
38.79,-122.78,United States
36.54,-121.08,United States
33.53,-116.74,United States
60.11,-152.55,United States
33.58,-116.59,United States
39.17,-123.17,United States
33.62,-116.66,United States
28.32,-100.07,United States
37.55,-118.85,United States
35.69,-117.53,United States
33.71,-116.8,United States
60.66,-152.84,United States
61.05,-150.13,United States
33.89,-116.83,United States
33.53,-116.47,United States
60.85,-152.15,United States
33.23,-116.73,United States
33.22,-116.03,United States
38.82,-122.8,United States
35.91,-117.71,United States
-10.89,166.16,Solomon Islands
34.33,-116.46,United States
55.83,-158.93,United States
38.81,-122.79,United States
62.72,-149.61,United States
31.9,-102.44,United States
46.86,-121.75,United States
61.35,-147.27,United States
32.36,-102.08,United States
46.9,-121.92,United States
32.05,-103.06,United States
47.88,-122.63,United States
17.91,-66.86,United States
35.94,-117.67,United States
38.84,-122.81,United States
46.85,-121.76,United States
61.21,-146.62,United States
35.95,-117.67,United States
47.56,-122.89,United States
61.39,-152.41,United States
32.38,-101.08,United States
37.47,-118.79,United States
32.44,-102.07,United States
65.24,-148.92,United States
35.62,-98.04,United States
38.83,-122.8,United States
39.53,-119.5,United States
64.92,-147.57,United States
63.01,-150.75,United States
15.16,-91.85,Guatemala
39.43,-119.42,United States
43.94,-120.99,United States
17.94,-66.92,United States
31.46,-104.0,United States
33.33,-116.37,United States
-22.24,-68.77,Chile
38.45,-116.46,United States
61.3,-152.49,United States
36.15,-120.29,United States
38.56,-123.03,United States
38.46,-116.49,United States
57.83,-156.09,United States
31.16,-103.41,United States
33.09,-116.06,United States
33.58,-116.65,United States
30.94,-103.19,United States
53.23,-167.12,United States
30.95,-103.21,United States
38.84,-122.84,United States
43.18,-123.43,United States
38.81,-122.82,United States
61.3,-152.43,United States
17.93,-66.92,United States
44.33,-110.55,United States
35.32,-117.81,United States
38.79,-122.79,United States
38.83,-122.86,United States
38.47,-116.49,United States
53.78,-166.98,United States
61.95,-150.89,United States
57.03,-135.66,United States
55.08,-162.08,United States
55.08,-162.09,United States
31.99,-102.23,United States
32.91,-116.94,United States
17.97,-67.04,United States
33.69,-116.79,United States
0.44,122.09,Indonesia
33.68,-116.79,United States
38.82,-122.84,United States
38.75,-122.7,United States
38.76,-122.7,United States
36.17,-118.09,United States
60.11,-152.8,United States
32.45,-115.16,Mexico
33.87,-117.5,United States
38.79,-122.77,United States
65.44,-148.24,United States
40.24,-124.4,United States
33.52,-116.52,United States
33.64,-116.68,United States
-3.13,130.63,Indonesia
61.3,-147.7,United States
63.04,-151.54,United States
33.76,-117.11,United States
38.82,-122.81,United States
53.84,-166.97,United States
53.89,-166.98,United States
53.81,-166.96,United States
37.88,-122.25,United States
38.84,-122.8,United States
35.06,-118.34,United States
32.44,-115.16,Mexico
61.93,-150.06,United States
61.78,-150.0,United States
45.08,-111.74,United States
33.41,-116.45,United States
31.05,-103.69,United States
63.53,-151.8,United States
32.99,-116.3,United States
44.43,-112.79,United States
38.82,-122.82,United States
46.58,-122.04,United States
37.3,-121.66,United States
33.68,-117.39,United States
58.32,-154.89,United States
33.89,-116.21,United States
0.49,125.36,Indonesia
33.89,-116.91,United States
48.29,-116.72,United States
47.6,-122.7,United States
28.79,-98.96,United States
31.72,-104.49,United States
-21.38,-66.73,Bolivia
51.85,-178.12,United States
44.43,146.56,Russia
65.44,-148.22,United States
52.67,-169.47,United States
47.75,-122.03,United States
33.57,-116.72,United States
47.49,-124.26,United States
46.66,-122.3,United States
64.62,-148.03,United States
28.82,-98.95,United States
61.43,-149.63,United States
38.82,-122.79,United States
32.53,-115.6,Mexico
28.83,-98.97,United States
47.61,-121.76,United States
46.84,-121.77,United States
64.88,-150.13,United States
60.04,-152.66,United States
61.27,-152.18,United States
44.83,-111.46,United States
51.68,177.38,United States
35.84,23.53,Greece
33.24,-116.03,United States
60.05,-153.08,United States
61.32,-152.3,United States
38.79,-122.81,United States
62.52,-149.73,United States
44.62,-110.67,United States
33.02,-116.49,United States
38.79,-122.76,United States
33.99,-116.69,United States
